# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
801, 1762515313.069931, 692987.9125, 5339036.9951, 1.0388, 48.175198641, 11.596057513
802, 1762515313.113153, 692988.0479, 5339036.9138, 1.0376, 48.175197873, 11.596059300
803, 1762515313.148510, 692988.1776, 5339036.8363, 1.0366, 48.175197142, 11.596061012
804, 1762515313.174512, 692988.1938, 5339036.8267, 1.0365, 48.175197051, 11.596061226
805, 1762515313.192122, 692988.2943, 5339036.7668, 1.0357, 48.175196486, 11.596062552
806, 1762515313.222032, 692988.3515, 5339036.7326, 1.0353, 48.175196163, 11.596063307
807, 1762515313.256166, 692988.4559, 5339036.6697, 1.0345, 48.175195569, 11.596064685
808, 1762515313.306211, 692988.5688, 5339036.6014, 1.0337, 48.175194925, 11.596066175
809, 1762515313.331117, 692988.5843, 5339036.5921, 1.0336, 48.175194837, 11.596066379
810, 1762515313.356418, 692988.6820, 5339036.5330, 1.0329, 48.175194279, 11.596067668
811, 1762515313.387554, 692988.8109, 5339036.4550, 1.0319, 48.175193543, 11.596069369
812, 1762515313.420775, 692988.8316, 5339036.4424, 1.0318, 48.175193425, 11.596069643
813, 1762515313.453692, 692988.9805, 5339036.3566, 1.0307, 48.175192613, 11.596071609
814, 1762515313.492354, 692989.0878, 5339036.2912, 1.0299, 48.175191996, 11.596073024
815, 1762515313.532825, 692989.1958, 5339036.2251, 1.0291, 48.175191373, 11.596074450
816, 1762515313.553701, 692989.2090, 5339036.2171, 1.0290, 48.175191297, 11.596074623
817, 1762515313.590488, 692989.3425, 5339036.1353, 1.0277, 48.175190526, 11.596076386
818, 1762515313.622179, 692989.4825, 5339036.0496, 1.0260, 48.175189718, 11.596078233
819, 1762515313.654828, 692989.5131, 5339036.0309, 1.0256, 48.175189541, 11.596078636
820, 1762515313.712690, 692989.7165, 5339035.9057, 1.0222, 48.175188361, 11.596081320
821, 1762515313.737593, 692989.7323, 5339035.8960, 1.0219, 48.175188270, 11.596081527
822, 1762515313.777801, 692989.8411, 5339035.8290, 1.0199, 48.175187638, 11.596082963
823, 1762515313.808893, 692989.9725, 5339035.7481, 1.0176, 48.175186875, 11.596084696
824, 1762515313.843532, 692990.0862, 5339035.6775, 1.0159, 48.175186210, 11.596086195
825, 1762515313.870249, 692990.1430, 5339035.6419, 1.0151, 48.175185874, 11.596086944
